Date,Load
09/01/2025 11.45,265.2
09/01/2025 12.00,241.2
09/01/2025 12.15,248.4
09/01/2025 12.30,231.6
09/01/2025 12.45,162
09/01/2025 13.00,108
09/01/2025 13.15,114
09/01/2025 13.30,128.4
09/01/2025 13.45,153.6
09/01/2025 14.00,160.8
09/01/2025 14.15,145.2
09/01/2025 14.30,148.8
09/01/2025 14.45,165.6
09/01/2025 15.00,168
09/01/2025 15.15,169.2
09/01/2025 15.30,140.4
09/01/2025 15.45,99.6
09/01/2025 16.00,98.4
09/01/2025 16.15,86.4
09/01/2025 16.30,109.2
09/01/2025 16.45,123.6
09/01/2025 17.00,108
09/01/2025 17.15,90
09/01/2025 17.30,110.4
09/01/2025 17.45,108
09/01/2025 18.00,97.2
09/01/2025 18.15,75.6
09/01/2025 18.30,80.4
09/01/2025 18.45,94.8
09/01/2025 19.00,96
09/01/2025 19.15,80.4
09/01/2025 19.30,69.6
09/01/2025 19.45,58.8
09/01/2025 20.00,56.4
09/01/2025 20.15,54
09/01/2025 20.30,62.4
09/01/2025 20.45,56.4
09/01/2025 21.00,61.2
09/01/2025 21.15,64.8
09/01/2025 21.30,64.8
09/01/2025 21.45,66
09/01/2025 22.00,75.6
09/01/2025 22.15,81.6
09/01/2025 22.30,75.6
09/01/2025 22.45,80.4
09/01/2025 23.00,70.8
09/01/2025 23.15,81.6
09/01/2025 23.30,72
09/01/2025 23.45,67.2
10/01/2025 00.00,68.4
10/01/2025 00.15,72
10/01/2025 00.30,67.2
10/01/2025 00.45,64.8
10/01/2025 01.00,66
10/01/2025 01.15,70.8
10/01/2025 01.30,64.8
10/01/2025 01.45,67.2
10/01/2025 02.00,61.2
10/01/2025 02.15,60
10/01/2025 02.30,55.2
10/01/2025 02.45,60
10/01/2025 03.00,57.6
10/01/2025 03.15,54
10/01/2025 03.30,55.2
10/01/2025 03.45,52.8
10/01/2025 04.00,60
10/01/2025 04.15,54
10/01/2025 04.30,56.4
10/01/2025 04.45,56.4
10/01/2025 05.00,54
10/01/2025 05.15,55.2
10/01/2025 05.30,56.4
10/01/2025 05.45,54
10/01/2025 06.00,66
10/01/2025 06.15,76.8
10/01/2025 06.30,75.6
10/01/2025 06.45,67.2
10/01/2025 07.00,72
10/01/2025 07.15,115.2
10/01/2025 07.30,157.2
10/01/2025 07.45,172.8
10/01/2025 08.00,169.2
10/01/2025 08.15,166.8
10/01/2025 08.30,210
10/01/2025 08.45,214.8
10/01/2025 09.00,208.8
10/01/2025 09.15,226.8
10/01/2025 09.30,217.2
10/01/2025 09.45,212.4
10/01/2025 10.00,211.2
10/01/2025 10.15,202.8
10/01/2025 10.30,232.8
10/01/2025 10.45,228
10/01/2025 11.00,217.2
10/01/2025 11.15,201.6
10/01/2025 11.30,201.6
10/01/2025 11.45,204
10/01/2025 12.00,186
10/01/2025 12.15,183.6
10/01/2025 12.30,208.8
10/01/2025 12.45,216
10/01/2025 13.00,228
10/01/2025 13.15,220.8
10/01/2025 13.30,220.8
10/01/2025 13.45,224.4
10/01/2025 14.00,218.4
10/01/2025 14.15,225.6
10/01/2025 14.30,220.8
10/01/2025 14.45,220.8
10/01/2025 15.00,224.4
10/01/2025 15.15,220.8
10/01/2025 15.30,228
10/01/2025 15.45,210
10/01/2025 16.00,244.8
10/01/2025 16.15,225.6
10/01/2025 16.30,223.2
10/01/2025 16.45,217.2
10/01/2025 17.00,205.2
10/01/2025 17.15,175.2
10/01/2025 17.30,110.4
10/01/2025 17.45,108
10/01/2025 18.00,91.2
10/01/2025 18.15,75.6
10/01/2025 18.30,70.8
10/01/2025 18.45,76.8
10/01/2025 19.00,79.2
10/01/2025 19.15,76.8
10/01/2025 19.30,66
10/01/2025 19.45,67.2
10/01/2025 20.00,72
10/01/2025 20.15,73.2
10/01/2025 20.30,79.2
10/01/2025 20.45,73.2
10/01/2025 21.00,73.2
10/01/2025 21.15,76.8
10/01/2025 21.30,85.2
